Galactica,Our beloved
Town Hall,Friday
Cypherbook,Passport
Universe,Most epic CM
CypherUni,Free education
Reputation,You really need this
CypherCapital,Remember... is the key
Kryptos,Nice statue
Rug Pull,Destiny of bad projects
Starbase,Testing environment
Reticulum,Name of the testnet blochchain  
Cypher,Encrypted identity system  
zkKYC,Privacy-focused identity verification  
Reputation,Digital trust score  
Citizen,Member of the Cypher State  
Governance,Decision-making system  
Sybil,Fake identity attack  
Validator,Node ensuring network security  
Consensus,Agreement in blockchain  
Protocol,Rules of a blockchain network  
Network,System of connected nodes  
Privacy,Protection of personal data  
Identity,Digital representation of a person  
Community,Group of network participants  
Blockchain,Distributed ledger technology  
Compliance,Following rules and standards  
Innovation,Creating new ideas or solutions  
Efficiency,Optimized use of resources  
Transparency,Openness and clarity  
Integration,Connecting multiple systems  
Collaboration,Working together on tasks  
Security,Protecting data or systems  
Technology,Application of scientific knowledge  
Metadata,Data about other data  
Registry,Record-keeping system  
Democracy,Governance by the people  
SBT,Soulbound token for identity  
zkNFT,Privacy-focused non-transferable token  
Meritocracy,System based on merit or skill  
Quadratic,Mathematical voting system  
Transactions,Exchanges on a blockchain  
Universal,Applies to everyone or everything  
Income,Regular payment or earnings  
Custodian,Entity managing resources securely  
Persistent,Lasting or ongoing  
Footprint,Record of activity on Web3  
Selective,Controlled disclosure of data  
Augmented,Enhanced or improved  
Societal,Related to society  
Framework,Structure or model  
Validator,Verifies blockchain transactions  
Encrypted,Secured with cryptography  
Optimization,Making systems more efficient  
Ecosystem,Network environment  
Reputation,Trust based on activity  
Mechanisms,Processes for functionality  
Efficiency,Effective use of resources  
Operations,Functions or tasks in a system  
Guardians,Protectors in the network  
Sovereignty,Control or independence  
Contracts,Agreements enforced digitally  
Ledger,Record of transactions  
DeSoc,Decentralized society concept  
DePol,Decentralized politics concept  
GNET,Token of the Galactica network  
SybilProof,Prevention of fake identities  
Governance,Management and decision-making  
Compliance,Adherence to rules  
Integration,Bringing together systems  
Resilience,Ability to recover quickly  
Interaction,User actions in Web3  
MeritDriven,Based on contributions  
Reputation,Trust score in the system  
Quadratic,Mathematical system for fairness  
